Age,Gender,Department,JobRole,Education,MonthlyIncome,YearsAtCompany,JobSatisfaction,OverTime,DistanceFromHome,Attrition,Probability,Timestamp
59,Female,R&D,Analyst,4,98587,1,2,No,18,1,0.970687769,08-04-25
39,Female,HR,Manager,2,45934,18,3,Yes,2,1,0.989013057,04-11-25
59,Male,Finance,Analyst,1,117239,14,4,No,23,0,0.5,16-04-25
38,Female,Sales,Engineer,1,59811,9,4,Yes,17,1,0.92414182,26-11-25
38,Female,R&D,Engineer,4,75123,4,2,Yes,6,1,0.989013057,22-02-25
23,Female,HR,Engineer,1,56586,10,4,Yes,11,1,0.92414182,21-04-25
44,Female,Sales,Analyst,3,100719,10,2,Yes,16,1,0.989013057,08-01-25
25,Female,Finance,Manager,4,61240,2,4,Yes,3,1,0.970687769,04-06-25
50,Female,Sales,Executive,4,95697,18,3,Yes,21,1,0.92414182,05-01-25
39,Male,R&D,Manager,4,56668,5,1,Yes,5,1,0.98201379,21-08-25
33,Female,Finance,Executive,2,113229,1,1,No,14,1,0.970687769,06-08-25
48,Male,HR,Engineer,1,43321,14,1,No,22,1,0.98201379,27-08-25
51,Female,Sales,Executive,3,39262,15,1,Yes,17,1,0.998498818,26-01-25
57,Male,Sales,Executive,1,79399,16,3,No,29,0,0.5,29-06-25
36,Female,IT,Manager,3,102558,13,2,Yes,28,1,0.989013057,19-03-25
45,Female,Finance,Executive,2,36748,13,3,Yes,24,1,0.989013057,07-01-25
24,Female,Finance,Executive,3,102838,13,3,Yes,15,1,0.92414182,01-10-25
59,Male,IT,Analyst,3,54674,14,4,Yes,25,1,0.880797078,29-04-25
58,Male,Finance,Executive,4,110825,6,1,Yes,17,1,0.98201379,19-08-25
43,Female,Sales,Executive,2,67915,16,1,Yes,20,1,0.989013057,25-01-25
25,Female,HR,Engineer,2,93794,8,1,No,18,1,0.92414182,21-04-25
57,Male,Finance,Engineer,3,46069,1,3,Yes,8,1,0.993307149,24-08-25
40,Male,IT,Analyst,2,80004,5,4,Yes,26,1,0.880797078,16-11-25
55,Male,IT,Manager,3,95703,12,2,No,5,1,0.880797078,16-10-25
43,Male,HR,Executive,1,21605,15,4,No,11,1,0.880797078,14-11-25
51,Male,Finance,Engineer,3,105655,8,3,Yes,3,1,0.880797078,31-08-25
52,Male,Sales,Manager,4,24324,3,4,Yes,6,1,0.98201379,18-11-25
41,Male,R&D,Analyst,4,48746,3,3,No,6,1,0.880797078,28-04-25
51,Male,R&D,Analyst,4,33234,1,3,No,11,1,0.952574127,26-01-25
26,Male,Finance,Analyst,2,50105,3,3,Yes,20,1,0.880797078,13-08-25
41,Female,IT,Manager,1,87584,13,4,No,6,1,0.622459331,20-10-25
32,Male,R&D,Executive,3,67362,0,2,Yes,18,1,0.993307149,10-01-25
26,Male,IT,Executive,3,29865,11,2,No,13,1,0.98201379,17-06-25
23,Male,IT,Executive,4,28512,4,1,No,17,1,0.98201379,22-09-25
32,Female,Finance,Engineer,3,99767,5,3,No,3,1,0.622459331,04-04-25
52,Female,R&D,Executive,1,103524,11,2,No,14,1,0.92414182,17-05-25
55,Male,IT,Analyst,4,93698,2,1,Yes,8,1,0.993307149,16-11-25
43,Male,HR,Executive,4,25951,7,3,Yes,9,1,0.98201379,17-08-25
35,Male,Finance,Engineer,4,108861,2,1,No,5,1,0.952574127,05-01-25
40,Male,R&D,Analyst,3,20077,3,1,Yes,13,1,0.997527377,11-02-25
46,Male,IT,Manager,2,63303,7,3,No,8,0,0.5,14-01-25
53,Female,IT,Analyst,3,93340,5,1,Yes,23,1,0.989013057,04-03-25
36,Male,R&D,Manager,1,39096,16,1,No,15,1,0.98201379,05-11-25
27,Male,Sales,Executive,2,112738,6,3,Yes,8,1,0.880797078,11-02-25
36,Male,IT,Engineer,3,91324,0,4,No,7,1,0.731058579,06-06-25
59,Male,HR,Manager,1,86656,4,3,No,23,0,0.5,16-10-25
25,Female,Sales,Executive,2,79201,9,1,No,27,1,0.92414182,26-11-25
54,Male,IT,Analyst,2,75180,14,4,No,13,0,0.5,04-08-25
36,Male,HR,Analyst,1,40103,4,1,Yes,15,1,0.997527377,20-11-25
33,Female,Finance,Engineer,1,40609,18,3,No,4,1,0.92414182,19-10-25
47,Female,R&D,Executive,3,91315,10,2,No,10,1,0.92414182,26-12-25
59,Female,HR,Manager,2,32999,14,2,Yes,14,1,0.998498818,29-12-25
33,Female,HR,Analyst,2,95916,7,2,Yes,18,1,0.989013057,21-04-25
33,Female,IT,Analyst,4,57219,15,4,Yes,5,1,0.92414182,20-10-25
29,Male,IT,Analyst,3,72329,16,4,No,26,0,0.5,20-02-25
50,Male,Finance,Executive,2,64327,8,2,Yes,11,1,0.98201379,14-09-25
58,Female,R&D,Engineer,1,21645,3,2,Yes,23,1,0.998498818,09-11-25
22,Male,IT,Analyst,3,73173,18,4,No,15,0,0.5,29-05-25
30,Male,R&D,Engineer,1,117416,9,4,No,25,0,0.5,27-04-25
47,Male,Sales,Analyst,1,60738,19,1,Yes,26,1,0.98201379,16-03-25
59,Female,Sales,Analyst,2,28070,17,3,Yes,2,1,0.989013057,13-12-25
38,Female,Finance,Analyst,4,61914,11,3,No,19,1,0.622459331,01-07-25
45,Male,Finance,Executive,1,87526,19,2,No,21,1,0.880797078,10-12-25
54,Female,HR,Manager,1,57148,10,2,Yes,26,1,0.989013057,05-06-25
42,Male,Sales,Analyst,1,90480,19,1,No,17,1,0.880797078,28-05-25
43,Female,R&D,Analyst,4,41566,7,1,Yes,7,1,0.998498818,14-09-25
53,Female,R&D,Analyst,1,61949,18,3,Yes,24,1,0.92414182,30-07-25
53,Male,IT,Engineer,2,79676,16,1,No,29,1,0.880797078,13-10-25
37,Male,Finance,Engineer,4,109106,17,1,Yes,14,1,0.98201379,24-06-25
23,Female,R&D,Analyst,2,58000,17,2,Yes,6,1,0.989013057,15-11-25
25,Male,Sales,Engineer,1,72487,6,3,Yes,10,1,0.880797078,11-06-25
54,Male,HR,Executive,3,101974,17,3,No,29,0,0.5,08-01-25
22,Male,R&D,Engineer,1,96534,2,4,No,23,1,0.731058579,12-09-25
29,Female,Sales,Manager,2,51480,14,1,Yes,3,1,0.989013057,20-02-25
54,Male,IT,Executive,4,99111,1,3,No,24,1,0.731058579,19-03-25
53,Female,Sales,Analyst,4,104458,15,4,No,20,1,0.622459331,14-06-25
42,Male,R&D,Manager,2,86358,15,2,No,7,1,0.880797078,26-11-25
28,Female,HR,Engineer,1,22198,18,4,Yes,29,1,0.989013057,05-02-25
50,Male,HR,Manager,4,28705,0,3,No,5,1,0.952574127,11-01-25
23,Female,HR,Analyst,3,96918,11,4,Yes,5,1,0.92414182,20-10-25
59,Female,HR,Manager,4,83197,8,2,Yes,21,1,0.989013057,21-12-25
43,Female,R&D,Analyst,4,49975,16,2,No,24,1,0.989013057,28-02-25
44,Male,Sales,Executive,4,57599,16,2,Yes,19,1,0.98201379,28-07-25
35,Female,Finance,Analyst,1,55367,1,1,Yes,25,1,0.995929862,25-12-25
30,Female,Finance,Executive,2,37685,10,2,No,4,1,0.989013057,03-06-25
50,Female,Sales,Manager,1,94532,10,2,No,18,1,0.92414182,08-05-25
42,Female,R&D,Executive,2,58243,8,2,No,2,1,0.92414182,17-01-25
58,Male,HR,Engineer,1,98411,9,2,No,21,1,0.880797078,27-01-25
52,Male,Finance,Engineer,2,49402,7,2,Yes,12,1,0.997527377,25-08-25
28,Male,HR,Manager,2,79052,16,2,No,21,1,0.880797078,09-07-25
23,Male,Sales,Analyst,4,58709,10,1,Yes,19,1,0.98201379,30-06-25
57,Male,Finance,Analyst,3,98617,10,4,Yes,11,1,0.880797078,13-06-25
56,Male,Finance,Engineer,2,48769,14,4,No,22,1,0.880797078,10-03-25
54,Male,IT,Executive,2,94478,19,3,No,3,0,0.5,01-09-25
38,Female,Finance,Executive,2,44058,12,3,Yes,2,1,0.989013057,20-07-25
47,Male,IT,Engineer,2,21524,8,1,No,8,1,0.98201379,17-01-25
22,Female,Finance,Analyst,1,20060,10,4,No,10,1,0.92414182,25-01-25
56,Female,Finance,Executive,3,48145,4,4,Yes,12,1,0.989013057,12-04-25
55,Female,HR,Engineer,4,71474,4,4,Yes,27,1,0.92414182,01-11-25
38,Male,HR,Executive,2,56408,16,3,Yes,12,1,0.880797078,14-11-25
37,Female,HR,Executive,4,20338,7,3,No,21,1,0.92414182,22-03-25
44,Female,IT,Manager,1,87957,15,2,No,8,1,0.92414182,25-01-25
39,Male,Sales,Engineer,1,97454,8,1,No,26,1,0.880797078,16-02-25
53,Male,HR,Executive,2,49711,6,1,No,23,1,0.98201379,09-10-25
42,Male,IT,Manager,2,114457,6,2,Yes,15,1,0.98201379,27-04-25
28,Male,R&D,Executive,1,31122,15,4,No,18,1,0.880797078,11-11-25
44,Female,HR,Engineer,1,26737,19,3,Yes,3,1,0.989013057,13-04-25
38,Male,IT,Manager,2,94910,2,4,No,28,1,0.731058579,28-10-25
55,Female,Finance,Engineer,3,115402,7,2,Yes,23,1,0.989013057,30-12-25
36,Female,HR,Executive,4,26640,3,1,No,22,1,0.989013057,29-07-25
54,Female,Sales,Analyst,4,99273,11,2,Yes,2,1,0.989013057,07-11-25
56,Male,R&D,Manager,2,86081,12,1,No,18,1,0.880797078,06-04-25
56,Female,R&D,Executive,3,59974,13,4,Yes,29,1,0.92414182,14-11-25
37,Male,IT,Manager,4,103691,14,1,No,10,1,0.880797078,25-12-25
41,Male,Finance,Manager,1,30816,16,3,Yes,13,1,0.98201379,22-05-25
51,Male,HR,Engineer,2,75619,17,2,No,5,1,0.880797078,02-06-25
22,Female,R&D,Analyst,1,110093,14,1,Yes,15,1,0.989013057,01-11-25
45,Male,HR,Analyst,4,117419,4,1,Yes,5,1,0.98201379,17-07-25
45,Male,IT,Analyst,3,49757,12,2,Yes,25,1,0.997527377,18-07-25
25,Female,R&D,Engineer,3,76979,18,1,No,14,1,0.92414182,26-11-25
55,Female,HR,Analyst,1,102856,16,2,Yes,3,1,0.989013057,19-09-25
26,Female,Finance,Manager,1,93781,14,3,Yes,17,1,0.92414182,09-01-25
56,Male,Sales,Engineer,4,38297,16,1,No,27,1,0.98201379,27-06-25
39,Male,Sales,Engineer,2,44578,2,2,Yes,13,1,0.999088949,30-04-25
46,Male,HR,Executive,1,54701,4,2,No,11,1,0.880797078,15-04-25
24,Male,HR,Engineer,3,117820,8,3,No,25,0,0.5,14-08-25
33,Male,IT,Executive,2,49192,14,4,No,25,1,0.880797078,18-09-25
32,Female,Finance,Analyst,3,101121,14,2,Yes,8,1,0.989013057,08-09-25
26,Female,Finance,Executive,4,61873,5,1,No,28,1,0.92414182,25-06-25
34,Male,Finance,Engineer,4,105956,12,1,No,18,1,0.880797078,09-02-25
53,Female,Sales,Manager,2,22396,18,2,Yes,3,1,0.998498818,25-02-25
55,Male,IT,Executive,4,112108,12,1,No,6,1,0.880797078,04-08-25
40,Male,Sales,Engineer,4,39623,0,3,Yes,27,1,0.993307149,31-10-25
34,Female,Finance,Analyst,3,71756,9,4,No,27,1,0.622459331,07-07-25
28,Female,R&D,Executive,1,68874,12,2,Yes,25,1,0.989013057,31-01-25
44,Male,Sales,Analyst,2,22719,10,1,No,7,1,0.98201379,23-03-25
57,Male,R&D,Analyst,2,68845,12,1,Yes,12,1,0.98201379,22-10-25
23,Female,HR,Executive,4,115756,13,3,No,17,1,0.622459331,21-08-25
38,Female,IT,Analyst,4,51966,1,4,No,24,1,0.817574476,31-12-25
56,Male,Finance,Manager,4,90981,18,2,Yes,7,1,0.98201379,15-03-25
53,Male,Sales,Analyst,2,81246,14,2,Yes,5,1,0.98201379,05-10-25
25,Male,R&D,Engineer,4,103807,3,2,No,4,1,0.880797078,07-08-25
38,Male,Sales,Engineer,4,83888,9,2,No,1,1,0.880797078,22-01-25
47,Female,HR,Manager,4,87889,13,4,No,15,1,0.622459331,12-10-25
33,Male,HR,Executive,4,110874,2,4,Yes,29,1,0.952574127,07-01-25
50,Male,Finance,Manager,3,64064,5,3,No,15,0,0.5,27-02-25
44,Female,R&D,Engineer,2,31745,13,2,Yes,29,1,0.998498818,04-01-25
38,Female,HR,Manager,3,26540,8,3,Yes,15,1,0.989013057,12-10-25
50,Male,Finance,Executive,3,43411,1,3,No,14,1,0.952574127,25-03-25
43,Male,HR,Manager,3,42042,2,1,Yes,12,1,0.999088949,02-04-25
50,Female,R&D,Engineer,1,59214,15,1,Yes,27,1,0.989013057,25-03-25
27,Male,Finance,Analyst,3,83416,4,3,No,27,0,0.5,14-09-25
59,Male,Sales,Analyst,3,96961,2,4,No,17,1,0.731058579,08-10-25
45,Female,IT,Analyst,4,46385,14,4,No,16,1,0.92414182,27-01-25
29,Female,HR,Analyst,4,59341,16,1,Yes,21,1,0.989013057,08-01-25
36,Male,Finance,Manager,3,105553,19,3,No,3,0,0.5,15-12-25
45,Female,Finance,Manager,4,73625,2,4,Yes,14,1,0.970687769,15-01-25
46,Male,Finance,Analyst,2,31536,11,4,No,4,1,0.880797078,09-01-25
59,Male,IT,Engineer,4,94744,1,4,No,8,1,0.731058579,05-03-25
34,Male,Finance,Analyst,1,46589,17,2,Yes,15,1,0.997527377,05-04-25
59,Female,IT,Engineer,4,26154,12,1,Yes,1,1,0.998498818,12-04-25
29,Male,Finance,Manager,3,52981,18,4,No,9,0,0.5,17-03-25
53,Male,R&D,Manager,3,94319,19,1,No,10,1,0.880797078,30-08-25
54,Male,HR,Analyst,2,26368,0,1,Yes,13,1,0.999088949,18-03-25
47,Female,Finance,Analyst,2,72326,1,2,Yes,7,1,0.995929862,31-03-25
36,Male,HR,Engineer,2,85641,11,1,Yes,8,1,0.98201379,13-11-25
24,Male,HR,Analyst,3,21925,8,2,Yes,9,1,0.997527377,25-12-25
52,Female,Sales,Executive,4,53320,17,4,Yes,8,1,0.92414182,24-11-25
49,Male,HR,Manager,2,45683,14,3,Yes,7,1,0.98201379,25-03-25
37,Male,Sales,Manager,4,31653,2,3,Yes,9,1,0.993307149,07-07-25
35,Male,R&D,Manager,3,35313,11,3,Yes,12,1,0.98201379,25-01-25
40,Male,IT,Analyst,3,72579,12,4,Yes,29,1,0.880797078,29-04-25
53,Female,R&D,Executive,3,109899,17,2,No,18,1,0.92414182,30-07-25
43,Male,R&D,Executive,1,22920,2,4,Yes,10,1,0.993307149,31-08-25
56,Female,IT,Manager,1,36309,14,1,No,7,1,0.989013057,28-11-25
51,Female,HR,Executive,1,79321,19,1,No,4,1,0.92414182,08-08-25
41,Female,IT,Analyst,4,59063,17,1,Yes,19,1,0.989013057,06-04-25
57,Male,R&D,Manager,2,51860,1,4,No,4,1,0.731058579,07-03-25
36,Male,R&D,Manager,2,96707,5,3,Yes,10,1,0.880797078,31-08-25
33,Female,R&D,Executive,3,68364,17,4,No,21,1,0.622459331,13-08-25
56,Male,Finance,Analyst,2,39975,3,4,No,23,1,0.880797078,25-10-25
35,Female,IT,Engineer,2,69153,4,1,Yes,6,1,0.989013057,10-02-25
35,Female,Finance,Engineer,4,55046,19,2,No,7,1,0.92414182,22-11-25
38,Male,Finance,Executive,3,81272,1,3,No,5,1,0.731058579,18-09-25
22,Male,HR,Analyst,4,106475,3,1,No,23,1,0.880797078,30-10-25
52,Female,HR,Manager,3,72233,2,2,Yes,14,1,0.995929862,21-03-25
31,Female,HR,Executive,1,96619,8,1,No,5,1,0.92414182,03-10-25
29,Female,Finance,Engineer,3,43499,0,1,No,22,1,0.995929862,11-10-25
58,Male,R&D,Engineer,3,91652,11,1,No,17,1,0.880797078,30-04-25
49,Female,IT,Engineer,3,87278,5,4,Yes,27,1,0.92414182,30-11-25
23,Male,IT,Analyst,1,67614,4,4,Yes,26,1,0.880797078,12-10-25
22,Female,R&D,Executive,3,21058,5,1,No,21,1,0.989013057,28-02-25
26,Male,IT,Executive,1,29200,18,2,Yes,12,1,0.997527377,03-10-25
45,Female,R&D,Manager,3,85661,1,1,No,18,1,0.970687769,12-10-25
52,Female,HR,Executive,4,26638,10,2,No,23,1,0.989013057,21-10-25
41,Female,IT,Engineer,3,42911,12,4,No,16,1,0.92414182,22-08-25
29,Female,Finance,Analyst,2,43196,5,1,Yes,15,1,0.998498818,27-03-25
55,Female,Finance,Manager,1,67414,10,2,No,18,1,0.92414182,25-05-25
47,Male,IT,Analyst,4,85838,7,1,Yes,12,1,0.98201379,24-11-25
46,Male,IT,Engineer,2,50659,0,1,Yes,19,1,0.993307149,14-10-25
37,Male,R&D,Manager,2,39508,15,1,No,9,1,0.98201379,31-03-25
49,Female,Finance,Executive,2,37087,5,3,No,9,1,0.92414182,10-06-25
46,Male,Finance,Manager,4,92460,8,1,Yes,13,1,0.98201379,08-06-25
32,Female,Finance,Analyst,4,49165,3,2,No,19,1,0.989013057,23-03-25
34,Female,Finance,Executive,1,45426,12,3,No,1,1,0.92414182,10-12-25
28,Male,R&D,Engineer,1,71924,14,1,No,12,1,0.880797078,18-07-25
36,Female,Finance,Analyst,1,97714,0,1,Yes,17,1,0.995929862,18-10-25
59,Female,R&D,Engineer,2,96743,13,2,Yes,10,1,0.989013057,22-09-25
24,Male,Sales,Manager,1,113977,7,4,No,2,0,0.5,27-04-25
50,Male,IT,Executive,2,24760,11,1,No,2,1,0.98201379,31-10-25
58,Female,Sales,Analyst,3,31563,3,3,No,11,1,0.92414182,09-12-25
27,Female,Finance,Engineer,2,79889,11,3,No,11,1,0.622459331,21-01-25
44,Female,R&D,Engineer,3,89967,14,1,No,28,1,0.92414182,08-10-25
57,Female,IT,Manager,3,56914,14,4,No,21,1,0.622459331,21-05-25
43,Female,Finance,Analyst,3,66881,13,1,No,4,1,0.92414182,21-02-25
48,Female,IT,Analyst,1,92430,2,4,No,16,1,0.817574476,16-04-25
57,Female,Sales,Executive,2,32289,16,1,Yes,4,1,0.998498818,31-03-25
